date,S. No.,open,high,low,close,adjusted close,volume,dividend amount,split cf
2021-11-26,0,115,116.335,114.56,115.81,115.81,3322012,0,1
2021-11-24,1,116.16,117.27,116.08,116.73,116.73,3220802,0,1
2021-11-23,2,116.79,117.94,116.04,116.79,116.79,4914995,0,1
2021-11-22,3,116,118.81,115.19,116.47,116.47,6417218,0,1
2021-11-19,4,116.49,116.56,115.27,116.05,116.05,5384548,0,1
2021-11-18,5,118.36,118.36,116.31,116.66,116.66,5047879,0,1
2021-11-17,6,118.38,119.33,117.78,118.06,118.06,4043289,0,1
2021-11-16,7,118.92,119.9,118.42,118.46,118.46,4750760,0,1
2021-11-15,8,119.54,120.16,118.31,118.87,118.87,5046321,0,1
2021-11-12,9,120,120.64,118.78,118.96,118.96,5376966,0,1
2021-11-11,10,120.9,121.7894,120.08,120.27,120.27,4643257,0,1
2021-11-10,11,121,122.43,119.932,120.22,120.22,6268961,0,1
2021-11-09,12,122.56,122.9,120.26,120.85,120.85,7195453,1.64,1
2021-11-08,13,123.985,124.78,123.53,124.54,122.8725529,5625275,0,1
2021-11-05,14,121.43,123.77,121.43,123.61,121.9550045,6790478,0,1
2021-11-04,15,123.05,123.34,119.9,120.85,119.2319577,7208736,0,1.046
2021-11-03,16,126.23,127.29,125.68,127.13,119.9119271,5421406,0,1
2021-11-02,17,126.3,127.17,124.91,126.18,119.0158653,4496393,0,1
2021-11-01,18,125.05,126.31,123.8375,126.28,119.1101876,5874767,0,1
2021-10-29,19,125.43,126.32,124.91,125.1,117.9971846,5916789,0,1
2021-10-28,20,125.17,126.31,124.62,125.84,118.6951696,6503003,0,1
2021-10-27,21,127.44,127.88,125.01,125.17,118.0632102,6973432,0,1
2021-10-26,22,127.52,128.3,126.755,127.13,119.9119271,8520872,0,1
2021-10-25,23,127.53,128.65,126.94,127.64,120.3929708,6374038,0,1
2021-10-22,24,128.05,130.25,126.611,127.88,120.6193443,11582195,0,1
2021-10-21,25,133.51,133.72,128.1,128.33,121.0437946,31466529,0,1
2021-10-20,26,141.68,142.2,140.7,141.9,133.8433293,6189255,0,1
2021-10-19,27,141.08,142.94,140.5201,141.98,133.9187871,4339548,0,1
2021-10-18,28,144,144.94,141.759,142.32,134.2394829,6154055,0,1
2021-10-15,29,143.39,144.85,142.79,144.61,136.3994634,3222778,0,1
2021-10-14,30,141.04,143.92,141.01,143.39,135.2487314,4217305,0,1
2021-10-13,31,140.52,141.41,139.66,140.76,132.7680552,2880747,0,1
2021-10-12,32,142.21,142.3,140.3,140.47,132.4945206,3148559,0,1
2021-10-11,33,143.5,144.08,142.4,142.43,134.3432374,2793298,0,1
2021-10-08,34,141.81,143.65,141.05,143.22,135.0883835,3731279,0,1
2021-10-07,35,142.73,143.395,141.53,141.81,133.7584393,3823803,0,1
2021-10-06,36,142.48,143.37,140.89,142.36,134.2772118,5328433,0,1
2021-10-05,37,144.75,145,142.64,143.15,135.0223579,6976648,0,1
2021-10-04,38,142.74,146,142.3501,144.11,135.9278519,7351128,0,1
2021-10-01,39,141,143.97,140.37,143.32,135.1827058,6604064,0,1
2021-09-30,40,140,140.57,138.5,138.93,131.0419573,5824431,0,1
2021-09-29,41,137.73,139.93,136.44,139.18,131.277763,3774236,0,1
2021-09-28,42,139.17,139.688,137.21,137.47,129.6648519,4314595,0,1
2021-09-27,43,137.96,139.065,137.48,138.56,130.6929648,3306865,0,1
2021-09-24,44,137.03,138.48,136.75,137.49,129.6837163,2964397,0,1
2021-09-23,45,135.25,137.42,135.03,136.73,128.9668669,3013238,0,1
2021-09-22,46,133.72,135.37,133.47,134.63,126.9860988,3602416,0,1
2021-09-21,47,135.11,135.65,132.94,132.97,125.4203488,4074528,0,1
2021-09-20,48,133.9,135.18,132.78,134.31,126.6842675,4770651,0,1
2021-09-17,49,135.75,135.9199,135.05,135.23,127.5520326,5633480,0,1
2021-09-16,50,137.28,137.95,135.71,136.43,128.6839001,2643975,0,1
2021-09-15,51,136.22,137.8,135.67,137.2,129.4101817,3254122,0,1
2021-09-14,52,138.4,138.57,135.34,136.22,128.4858232,4454291,0,1
2021-09-13,53,138.4,138.99,137.51,138.15,130.3062434,4144345,0,1
2021-09-10,54,138.82,139.3699,137,137.02,129.2404016,3975115,0,1
2021-09-09,55,137.85,138.96,137.555,137.74,129.9195221,3508363,0,1
2021-09-08,56,138.14,139.09,137.6,138.67,130.7967193,2985409,0,1
2021-09-07,57,139.65,139.79,137.7614,138.06,130.2213534,3285363,0,1
2021-09-03,58,139.68,140.47,139.3,139.58,131.6550522,1924215,0,1
2021-09-02,59,139.72,140.05,139.03,140.01,132.060638,2715659,0,1
2021-09-01,60,139.98,140.0699,139.19,139.3,131.3909498,2474544,0,1
2021-08-31,61,139.54,140.94,138.95,140.34,132.3719016,4235101,0,1
2021-08-30,62,139.5,139.88,138.815,138.97,131.0796862,1995526,0,1
2021-08-27,63,138.71,139.585,138.4,139.41,131.4947043,2459643,0,1
2021-08-26,64,139.97,140.8,138.71,138.78,130.9004739,2498915,0,1
2021-08-25,65,139.92,140.8,139.46,139.86,131.9191546,2012817,0,1
2021-08-24,66,139.78,140.23,139.32,139.84,131.9002901,2365638,0,1
2021-08-23,67,139.62,140.15,138.8,139.62,131.6927811,3039587,0,1
2021-08-20,68,137.74,139.38,137.27,139.11,131.2117374,2657763,0,1
2021-08-19,69,138.69,139.45,137.21,138.02,130.1836245,4160129,0,1
2021-08-18,70,141.67,141.915,139.39,139.47,131.5512977,3510694,0,1
2021-08-17,71,143,143.16,141.09,142.42,134.3338052,3074078,0,1
2021-08-16,72,143.23,143.74,142.23,143.59,135.437376,2786343,0,1
2021-08-13,73,142.64,143.58,142.44,143.18,135.0506546,1908951,0,1
2021-08-12,74,142.26,143.15,142.0766,143.07,134.9469001,2089418,0,1
2021-08-11,75,141.78,142.7685,141.5,142.13,134.0602706,4259952,0,1
2021-08-10,76,141.21,141.811,140.34,141.38,133.3528534,5299869,0,1
2021-08-09,77,142.2,142.495,140.97,141.25,133.2302344,4904065,1.64,1
2021-08-06,78,143,144.39,142.89,144.09,134.3491111,3826835,0,1
2021-08-05,79,143.03,143.41,142.22,142.77,133.1183468,2757389,0,1
2021-08-04,80,143.8,144.18,142.47,142.76,133.1090228,2830079,0,1
2021-08-03,81,141.9,144.7,141.65,144.07,134.3304631,4084724,0,1
2021-08-02,82,141.45,143.06,141.03,141.42,131.8596106,2929540,0,1
2021-07-30,83,141.52,141.85,140.79,140.96,131.4307079,3535555,0,1
2021-07-29,84,142.33,142.96,141.6,141.93,132.3351331,2657669,0,1
2021-07-28,85,143.01,143.1,141.64,141.77,132.1859496,2544099,0,1
2021-07-27,86,142.53,143.64,141.6,142.75,133.0996988,3137027,0,1
2021-07-26,87,141.39,143,141.13,142.77,133.1183468,4246266,0,1
2021-07-23,88,140.96,141.7,140.33,141.34,131.7850188,4474157,0,1
2021-07-22,89,141.66,141.81,140.41,140.71,131.1976086,3314153,0,1
2021-07-21,90,139.97,141.39,139.65,141.3,131.7477229,4803977,0,1
2021-07-20,91,143,144.92,138.7,139.97,130.5076346,13611675,0,1
2021-07-19,92,136.45,138.49,136.2089,137.92,128.5962204,8582302,0,1
2021-07-16,93,141,141,138.59,138.9,129.5099696,4109308,0,1
2021-07-15,94,139.32,140.46,138.8005,140.45,130.9551853,3639698,0,1
2021-07-14,95,140.72,140.75,138.9273,139.82,130.3677751,4403752,0,1
2021-07-13,96,140.92,140.92,139.63,140.28,130.7966778,3164294,0,1
2021-07-12,97,141.43,141.9599,140.115,140.92,131.393412,3342627,0,1
2021-07-09,98,141.45,141.98,140.841,141.52,131.9528503,3904059,0,1
2021-07-08,99,137.78,141.31,137.66,140.74,131.2255805,5487425,0,1
2021-07-07,100,138.76,140.33,138.76,139.82,130.3677751,4059667,0,1
2021-07-06,101,139.99,140.42,137.1,138.78,129.398082,8093747,0,1
2021-07-02,102,146.91,146.95,139.46,140.02,130.5542545,16828161,0,1
2021-07-01,103,146.96,147.5,146.57,146.84,136.9132033,2686289,0,1
2021-06-30,104,145.13,146.93,144.71,146.59,136.680104,3245091,0,1
2021-06-29,105,145.26,146.74,145.1,145.55,135.710411,2428626,0,1
2021-06-28,106,147.01,147.3,144.9121,145.29,135.4679877,3888869,0,1
2021-06-25,107,145.38,146.93,144.945,146.84,136.9132033,3594218,0,1
2021-06-24,108,145.8,146.19,144.69,145.44,135.6078473,3609679,0,1
2021-06-23,109,146.43,146.5,144.57,144.61,134.8339576,3202644,0,1
2021-06-22,110,146.52,146.81,145.35,146.36,136.4656527,2437121,0,1
2021-06-21,111,144.11,147.07,144.06,146.65,136.7360479,4285711,0,1
2021-06-18,112,144.48,144.68,143.04,143.12,133.4446858,9156505,0,1
2021-06-17,113,147.55,148.06,145.28,145.6,135.7570308,4367387,0,1
2021-06-16,114,149.76,149.76,147.22,147.83,137.8362765,3795420,0,1
2021-06-15,115,149.85,149.91,148.6,149.36,139.2628442,2513281,0,1
2021-06-14,116,150.71,151.03,148.655,150.03,139.8875504,3344845,0,1
2021-06-11,117,150.43,151.845,150.37,151.28,141.0530468,3438255,0,1
